"state","county","math_score","college_share","income","poor_share","pop"
"Alaska","Kenai Peninsula Borough",3.4423058,0.22409762,65850.8845306859,0.095499016,55634
"Alaska","Ketchikan Gateway Borough",2.9532373,0.2425018,67538.9352229725,0.082963258,13247
"Alaska","Kodiak Island Borough",2.692416,0.22636457,81082.3549882284,0.10641581,13452
"Alaska","Lake and Peninsula Borough",2.3988495,0.13538875,43864,0.21424149,1498
"Alaska","Matanuska-Susitna Borough",3.2028072,0.20622398,74349.0799595483,0.10120928,91415
"Alaska","Nome Census Area",1.457052,0.13805065,53273.2406236831,0.23934485,9606
"Alaska","North Slope Borough",1.1101568,0.14633943,72450.5652614805,0.12548883,6948
"Alaska","Northwest Arctic Borough",0.58294868,0.1238078,61471.0934467633,0.19725221,7554
"Alaska","Petersburg Census Area",2.5278206,0.27410418,63940,0.097370476,3788
"Alaska","Prince of Wales-Hyder Census Area",2.7300873,0.17577676,52387.6281067251,0.14083327,5717
"Alaska","Sitka City and Borough",3.2028825,0.29123083,68389.8956198626,0.06792251,8666
"Alaska","Skagway Municipality",NA,0.32271469,64853,0.10842294,899
"Alaska","Southeast Fairbanks Census Area",3.032402,0.20654084,67793.6604068858,0.098666511,6959
"Alaska","Valdez-Cordova Census Area",3.6165285,0.23791298,72605.195931922,0.071700685,9514
"Alaska","Wade Hampton Census Area",-0.2462012,0.077088453,NA,0.31375748,7770
"Alaska","Wrangell City and Borough",3.8934619,0.16242662,52986,0.082935303,2167
"Alaska","Yakutat City and Borough",NA,0.17948718,66875,0.04265403,724
"Alaska","Yukon-Koyukuk Census Area",1.8659627,0.11384125,38569.4547244095,0.23679918,5762
"Arizona","Apache County",1.6169322,0.10242437,31463.7279565983,0.34455413,71256
"Arizona","Cochise County",2.9489548,0.21427867,46652.0663971495,0.15645339,130304
"Arizona","Coconino County",2.8935094,0.2984471,50692.866836283,0.20848833,130949
"Arizona","Gila County",2.2503889,0.14281085,40390.1181782562,0.18918873,52216
"Arizona","Graham County",3.3051391,0.14115688,46583.6101020956,0.19047739,36594
"Arizona","Greenlee County",3.7247963,0.12809056,51050.845679744,0.13726678,7723
"Arizona","La Paz County",2.4132349,0.089579955,36783.5026111572,0.19388899,19770
"Arizona","Maricopa County",3.460727,0.28014687,61673.7773098297,0.13974999,4063802
"Arizona","Mohave County",3.5140235,0.1193167,40380.1887794351,0.16088273,194299
"Arizona","Navajo County",2.8389716,0.13573605,36195.785619224,0.24467954,113353
"Arizona","Pima County",3.1437624,0.28391373,50349.6116360009,0.1643203,1027226
"Arizona","Pinal County",2.8502119,0.17514139,51648.9663278069,0.13272186,371680
"Arizona","Santa Cruz County",3.0082901,0.17628373,38725.8396035428,0.24561115,43716
"Arizona","Yavapai County",3.1019976,0.22697513,46530.1747878294,0.1376577,215102
"Arizona","Yuma County",2.959877,0.13146718,44266.2431869049,0.20879522,198637
"Arkansas","Arkansas County",2.8419325,0.14228745,39093.4398759136,0.18717131,18956
"Arkansas","Ashley County",3.2626781,0.13808717,36757.4198050611,0.18408377,21939
"Arkansas","Baxter County",3.2335916,0.14498693,37757.7330715679,0.15581003,42032
"Arkansas","Benton County",4.0846462,0.26199141,59899.0834692485,0.11599606,231564
"Arkansas","Boone County",5.0462875,0.1446503,38785.2784868439,0.16143942,36853
"Arkansas","Bradley County",1.873879,0.12509087,33854.411105318,0.30446175,11761
"Arkansas","Calhoun County",2.6398411,0.063202091,37262.7449701937,0.12055805,5069
"Arkansas","Carroll County",3.2393897,0.16456702,38172.8455876995,0.17504969,28440
"Arkansas","Chicot County",2.9025805,0.12601423,30894.02,0.33706415,11800
"Arkansas","Clark County",3.265244,0.22585374,36277.987345075,0.24591568,23753
"Arkansas","Clay County",3.4257894,0.087931372,32158.7764098738,0.18722416,15502
"Arkansas","Cleburne County",3.1420858,0.13612647,41572.7665768194,0.17507556,25565
"Arkansas","Cleveland County",2.6485505,0.13953713,42926.3281160087,0.15105014,8482
"Arkansas","Columbia County",2.8583229,0.2138333,39310.6083414793,0.23174115,23858
"Arkansas","Conway County",3.8290083,0.13686781,37175.595449631,0.16878843,20851
"Arkansas","Craighead County",3.7205071,0.22739704,47433.9577781695,0.20256589,97079
"Arkansas","Crawford County",2.6075034,0.12794554,41954.2970878802,0.18190458,60412
"Arkansas","Crittenden County",2.8143556,0.14103176,44509.0495265412,0.27269152,53161
"Arkansas","Cross County",2.6878955,0.12482068,41677.0122551763,0.16752127,18500
"Arkansas","Dallas County",2.5755684,0.12653838,36456.4866929522,0.18022119,7852
"Arkansas","Desha County",2.722713,0.13800943,27365.2406211562,0.27664354,13255
"Arkansas","Drew County",3.7336411,0.1998022,33969.1702415041,0.23809615,18686
"Arkansas","Faulkner County",3.7551522,0.27479336,52810.9903388468,0.15474914,112255
"Arkansas","Franklin County",3.3623166,0.11629019,39884.4016,0.17678745,17968
"Arkansas","Fulton County",4.8289404,0.098145075,35691.2751327072,0.20396073,11453
"Arkansas","Garland County",3.3942423,0.20023586,41703.8281575439,0.17814304,98848
"Arkansas","Grant County",3.1503377,0.15015951,48056.3879460035,0.088442884,17935
"Arkansas","Greene County",2.880573,0.11891735,45322.5175100974,0.16271152,41437
"Arkansas","Hempstead County",2.1386013,0.14644267,33867.1204829935,0.2362949,23100
"Arkansas","Hot Spring County",3.5417521,0.12604921,44741.2160191963,0.1194883,32071
"Arkansas","Howard County",2.9237556,0.12402026,36618.1034882878,0.22020102,14494
"Arkansas","Independence County",3.5232255,0.14737046,39167.7642098944,0.19356509,35151
"Arkansas","Izard County",3.6926005,0.11953536,36393.6556658878,0.18847555,12991
"Arkansas","Jackson County",3.1669462,0.069937028,31058.3271100739,0.25506166,16429
"Arkansas","Jefferson County",2.3488615,0.16847891,38466.202908651,0.22057746,78386
"Arkansas","Johnson County",2.7625952,0.15084438,34188.4216914644,0.19699845,25274
"Arkansas","Lafayette County",3.2900198,0.13317572,29868.7445389143,0.19775578,7482
"Arkansas","Lawrence County",3.5558407,0.092552841,33839.1456215906,0.24468684,16804
"Arkansas","Lee County",0.81643963,0.087131917,26428.5475825019,0.28840211,10289
"Arkansas","Lincoln County",2.518774,0.085683815,32063.7312155087,0.28390163,13432
"Arkansas","Little River County",3.3753629,0.11914271,35230.3639055501,0.18871719,12866
"Arkansas","Logan County",3.4269996,0.11463495,36670.2430993603,0.14224619,22217
"Arkansas","Lonoke County",3.2570727,0.16973901,56336.6227105155,0.12266467,67527
"Arkansas","Madison County",2.369014,0.13515788,40351.2770885029,0.18855692,16012
"Arkansas","Marion County",3.0161951,0.14786737,34308.6938689726,0.15292884,16382
"Arkansas","Miller County",3.0722041,0.12577756,40423.4885830034,0.18712205,43912
"Arkansas","Mississippi County",2.3623002,0.10857307,35294.7364242685,0.25506178,46132
"Arkansas","Monroe County",3.0276551,0.12199654,31124.7495398208,0.22713536,7958
"Arkansas","Montgomery County",4.1970243,0.096883997,34860.8741435649,0.1967255,8908
"Arkansas","Nevada County",2.7069647,0.10757889,29350.1516060909,0.19905634,9059
"Arkansas","Newton County",3.5616355,0.12188023,33733.6789915966,0.22493102,8174
"Arkansas","Ouachita County",2.3245578,0.13040593,31986.9702526799,0.20193043,25522
"Arkansas","Perry County",3.6733148,0.10509984,46231.7430349449,0.15047021,10220
"Arkansas","Phillips County",2.4242942,0.11685891,26513.0344257021,0.32684377,20549
"Arkansas","Pike County",3.1092336,0.12333129,35056.9059427863,0.20917885,10605
"Arkansas","Poinsett County",3.3958285,0.088651933,35280.5382174674,0.25264129,24715
"Arkansas","Polk County",3.0884113,0.10188532,33603.402671571,0.20493734,20342
"Arkansas","Pope County",3.8357649,0.19899012,41897.1814619296,0.18831782,60885
"Arkansas","Prairie County",2.6045969,0.11513904,37846.5467584624,0.15170214,8503
"Arkansas","Pulaski County",2.64116,0.30047801,51051.5291394293,0.16352996,383347
"Arkansas","Randolph County",3.3535357,0.11114775,36814.1517613668,0.19762005,17979
"Arkansas","St. Francis County",1.9252871,0.10778829,33037.8894826244,0.29907337,26051
"Arkansas","Saline County",3.7694011,0.22331701,59334.0635560783,0.10108703,100819
"Arkansas","Scott County",2.6069086,0.089833818,37501.7537612392,0.23720989,11243
"Arkansas","Searcy County",3.3976736,0.090950415,35964.8269676632,0.22666965,7860
"Arkansas","Sebastian County",2.9565032,0.17327446,42356.3557625016,0.18231079,124454
"Arkansas","Sevier County",3.9039428,0.090758987,38205.4698088873,0.23035425,17216
"Arkansas","Sharp County",3.9018569,0.12578799,31829.5731000927,0.21543796,17538
"Arkansas","Stone County",3.4332485,0.1056185,30695.4202033242,0.23487176,11964
"Arkansas","Union County",2.7966676,0.16039665,40141.2348759576,0.21335699,42437
"Arkansas","Van Buren County",3.6084449,0.13038938,35164.8343451865,0.22583862,16184
"Arkansas","Washington County",3.4751892,0.27106306,48023.8810380912,0.18787046,204041
"Arkansas","White County",2.921545,0.17776708,43024.7935154912,0.15920095,77617
"Arkansas","Woodruff County",3.287509,0.090590253,30262.1947658402,0.22878365,7238
"Arkansas","Yell County",3.96964,0.09991926,39797.7924273158,0.17725517,22591
"California","Alameda County",2.9569743,0.3961249,86951.7750602375,0.11625703,1504411
"California","Alpine County",NA,0.29733333,62375,0.13122173,1001
"California","Amador County",2.2525249,0.18867403,58592.1748444515,0.077970259,37851
"California","Butte County",1.8189616,0.2419899,46767.0855863636,0.18590184,220195
"California","Calaveras County",2.0303447,0.19633332,54933.5537101233,0.084632061,46313
"California","Colusa County",1.7971562,0.1175394,56147.0330080769,0.14941034,21549
"California","Contra Costa County",2.8608387,0.37109825,93226.6462991826,0.090110563,1055952
"California","Del Norte County",2.2348237,0.14452294,43363.8006990563,0.21644425,29147
"California","El Dorado County",2.9566143,0.3141996,78292.0939312265,0.079138055,178471
"California","Fresno County",2.339963,0.18458092,48992.4762845508,0.2259327,924691
"California","Glenn County",1.5501615,0.16109593,41668.597325937,0.17415123,28184
"California","Humboldt County",2.0224214,0.2633675,43371.9088565847,0.18122762,130025
"California","Imperial County",1.7264649,0.12441705,45366.4917111465,0.21059938,169354
"California","Inyo County",2.6441929,0.20851487,52256.1669901866,0.11889647,17190
"California","Kern County",1.8224961,0.14002854,52884.9067714149,0.20443068,814852
"California","Kings County",1.7991503,0.11977366,50246.3506445206,0.18023399,148760
"California","Lake County",1.8630451,0.1616073,39996.1060078868,0.19341661,65680
"California","Lassen County",1.552906,0.12768786,51397.3651239433,0.12421285,34111
"California","Los Angeles County",2.5667319,0.27022794,63038.5258037556,0.15765688,9880569
"California","Madera County",1.7277009,0.12654811,46327.3299373612,0.19615072,150758
"California","Marin County",3.3024766,0.53515613,104187.728060431,0.070430674,252576
"California","Mariposa County",2.3780675,0.20662053,52313.881595529,0.12387232,17677
"California","Mendocino County",1.2909892,0.2205933,44625.5820175089,0.17056894,85844
"California","Merced County",2.1460238,0.12479172,46739.9006814104,0.21672833,249404
"California","Modoc County",0.90701133,0.15548679,41802.9255626678,0.18382464,9121
"California","Mono County",1.5604309,0.29829398,57148.8674130404,0.12088188,12963
"California","Monterey County",1.9695201,0.20963904,63593.6264745222,0.14157094,415400
"California","Napa County",2.2633035,0.29875234,77820.6255046061,0.099867798,136120
"California","Nevada County",2.3722563,0.31873947,60488.9573933822,0.092753083,97868
"California","Orange County",3.0700145,0.35066748,81833.6348789511,0.10259308,3058905
"California","Placer County",3.0511267,0.34500164,82276.5507358681,0.065743402,353605
"California","Plumas County",2.5788043,0.19269134,49303.6545709002,0.12356482,19861
"California","Riverside County",2.3449244,0.1994096,62371.0784308693,0.13406983,2176129
"California","Sacramento County",2.1885769,0.27216095,61904.7416273608,0.13777713,1412333
"California","San Benito County",1.6287466,0.1791753,75652.8389151242,0.11431625,56164
"California","San Bernardino County",2.1422117,0.1769464,58416.7657848076,0.14801885,2040080
"California","San Diego County",2.8685353,0.32833698,72108.4692018942,0.1243061,3076745
"California","San Francisco County",3.3369303,0.49837339,90661.2681331763,0.1217569,816159
"California","San Joaquin County",1.6530741,0.17287539,58595.5415624553,0.1594028,683494
"California","San Luis Obispo County",2.9211826,0.31214231,64826.9615906319,0.14602917,268511
"California","San Mateo County",3.2493401,0.43202016,105958.668218153,0.07008975,724877
"California","Santa Barbara County",2.4623661,0.29600796,68836.6340020855,0.14256071,408969
"California","Santa Clara County",3.6094806,0.44245085,106252.396811481,0.091045938,1807547
"California","Santa Cruz County",2.105087,0.36805743,71044.4096012684,0.12883821,258347
"California","Shasta County",2.3919048,0.20060487,48288.5417694092,0.16586187,181224
"California","Sierra County",2.4626532,0.22982322,43984,0.10866329,3161
"California","Siskiyou County",2.1070728,0.22507608,40503.0526057907,0.17045239,44611
"California","Solano County",2.2406671,0.23991148,72553.7764266938,0.10367498,409289
"California","Sonoma County",2.2127702,0.30531508,69339.2505590252,0.10417484,476257
"California","Stanislaus County",1.9494953,0.157603,53180.1031289544,0.16463268,512183
"California","Sutter County",2.4269974,0.18524955,55615.3222289074,0.14178988,92631
"California","Tehama County",2.1117342,0.12409122,41258.3588074941,0.20100804,61692
"California","Trinity County",2.9368484,0.1920249,35701.6682866676,0.15195882,14192
"California","Tulare County",1.9168948,0.12423898,44689.7627321288,0.22826511,435098
"California","Tuolumne County",2.4211075,0.18502432,51440.9894929986,0.11571394,54418
"California","Ventura County",2.3496952,0.29672334,82697.3165541468,0.09454146,810359
"California","Yolo County",2.6189711,0.39999434,60858.9607615671,0.17344221,200495
"California","Yuba County",2.4820232,0.12208927,50150.4080936872,0.19517076,73227
"Colorado","Adams County",3.1625357,0.20083889,63833.15329606,0.13613659,448734
"Colorado","Alamosa County",3.6376641,0.25294462,37507.1183554548,0.23936579,15670
"Colorado","Arapahoe County",3.8129478,0.37447494,75325.7669225511,0.11592246,576807
"Colorado","Archuleta County",2.9017279,0.3899489,45798.1292618338,0.083586104,12321
"Colorado","Baca County",4.6905918,0.1897468,37709.9023231257,0.14295538,3771
"Colorado","Bent County",4.6983385,0.13209681,34773,0.23991552,6723
"Colorado","Boulder County",4.3933187,0.5719403,77515.8949169459,0.13164347,304384
"Colorado","Broomfield County",4.0408792,0.45797268,88180.4318560003,0.053766362,56814
"Colorado","Chaffee County",3.5936515,0.32752493,51147.503284856,0.11629666,17123
"Colorado","Cheyenne County",NA,0.18454364,54375,0.12134293,1704
"Colorado","Clear Creek County",3.9767222,0.41479254,70879.6521786972,0.078191541,8768
"Colorado","Conejos County",3.6442776,0.18580416,36527.2621124031,0.17786738,8016
"Colorado","Costilla County",NA,0.14316078,25946.2934165721,0.28554055,3178
"Colorado","Crowley County",4.9114428,0.12165681,31719,0.21002452,6507
"Colorado","Custer County",5.0261712,0.29166666,38605,0.15106438,4071
"Colorado","Delta County",3.7701428,0.17961693,41910.5955027139,0.13221653,31025
"Colorado","Denver County",2.9667957,0.38198137,61096.4322861646,0.19083044,626876
"Colorado","Dolores County",3.3177133,0.14876033,32240,0.15978098,1939
"Colorado","Douglas County",4.5260663,0.54559797,109700.743306535,0.028260361,293756
"Colorado","Eagle County",3.5876911,0.45145121,82361.3066268176,0.094250232,53372
"Colorado","Elbert County",4.0046325,0.29211572,91709.2622801698,0.034559444,23499
"Colorado","El Paso County",4.0978227,0.33977646,67021.4278242796,0.11162039,617908
"Colorado","Fremont County",3.90833,0.17126945,44138.5630433664,0.16897105,47509
"Colorado","Garfield County",3.3819764,0.24033463,63289.127081523,0.091607034,55438
"Colorado","Gilpin County",3.7456584,0.33688647,67544,0.11001965,5692
"Colorado","Grand County",4.3797574,0.30179122,66098.7745738732,0.064846963,13733
"Colorado","Gunnison County",3.7066379,0.45308527,52955.8789480553,0.11411315,15336
"Colorado","Hinsdale County",2.7829258,0.42032331,51250,0.036809817,860
"Colorado","Huerfano County",2.2012911,0.25875071,34098.7711220384,0.21409798,6652
"Colorado","Jackson County",NA,0.21710527,45053,0.13934426,1342
"Colorado","Jefferson County",3.8206673,0.39269111,77096.3027736378,0.081144273,541275
"Colorado","Kiowa County",NA,0.20051858,38385,0.1252372,1251
"Colorado","Kit Carson County",3.4437721,0.15017898,44178.7620314389,0.084483601,8169
"Colorado","Lake County",2.5935493,0.20416188,47832.9603283174,0.2120007,7952
"Colorado","La Plata County",3.5536897,0.4068045,61527.5141621537,0.10523366,52095
"Colorado","Larimer County",4.4462705,0.43402416,64680.9784934753,0.13907152,301307
"Colorado","Las Animas County",4.3316493,0.19264911,44703.8839233894,0.16948493,15586
"Colorado","Lincoln County",4.0424609,0.15251108,40301.2125480154,0.12658517,5188
"Colorado","Logan County",4.6614161,0.18294246,44274.3938526575,0.11620475,20953
"Colorado","Mesa County",3.3261056,0.2453209,51585.7065286288,0.1262289,145405
"Colorado","Mineral County",NA,0.39076576,49125,0.077450983,910
"Colorado","Moffat County",2.6726871,0.14663829,52942.8609641174,0.13089986,14073
"Colorado","Montezuma County",2.8410892,0.25705883,42549.4342275308,0.1743757,25470
"Colorado","Montrose County",3.4810054,0.22139049,45543.2727977517,0.10975815,41012
"Colorado","Morgan County",3.2224329,0.14865148,49444.6595404666,0.14648603,27882
"Colorado","Otero County",3.3053479,0.15354581,35588.6192448622,0.20821512,18743
"Colorado","Ouray County",3.4613283,0.41266376,62800,0.082194954,4700
"Colorado","Park County",3.9875867,0.32756215,61905.0568308034,0.06809058,17014
"Colorado","Phillips County",4.566175,0.15496315,46739.3574966232,0.092654012,4604
"Colorado","Pitkin County",4.3458233,0.59415734,71275.6487053884,0.087625146,16100
"Colorado","Prowers County",2.8995693,0.18293081,41521.3371046132,0.22553341,12939
"Colorado","Pueblo County",3.63745,0.20627518,46060.744931636,0.17837183,159335
"Colorado","Rio Blanco County",3.6899006,0.22762167,54960.0522052205,0.054122172,6358
"Colorado","Rio Grande County",2.7434094,0.19437934,41595.0956434652,0.17041701,11756
"Colorado","Routt County",4.7379827,0.45802674,65825.7494576545,0.06699802,23240
"Colorado","Saguache County",3.8046739,0.19323213,33341.8151604453,0.2348216,7118
"Colorado","San Juan County",NA,0.30794165,41250,0.12234043,585
"Colorado","San Miguel County",3.5307662,0.49152419,58305.1358880283,0.096471608,7561
"Colorado","Sedgwick County",4.6045947,0.12679955,46977,0.14080071,2286
"Colorado","Summit County",4.0496716,0.4978058,68593.4922483389,0.071293578,27549
"Colorado","Teller County",3.5889399,0.31321642,66734.3703640257,0.075890221,22056
"Colorado","Washington County",3.0506911,0.18287684,46177.9744495222,0.14301519,4395
"Colorado","Weld County",3.5442932,0.25718427,64816.0978817004,0.14103249,261117
"Colorado","Yuma County",3.9499032,0.17702015,42532.4385143881,0.097841844,9797
"Connecticut","Fairfield County",3.6956043,0.43416107,104124.840235555,0.08013691,908263
"Connecticut","Hartford County",3.356144,0.32876036,74401.0127451674,0.10923331,881536
"Connecticut","Litchfield County",3.5490723,0.32131135,76380.9341167922,0.058497772,187690
"Connecticut","Middlesex County",3.9558835,0.36829427,82051.2218365967,0.064101189,165796
"Connecticut","New Haven County",3.0607426,0.31344205,68674.1509350394,0.11119325,850587
"Connecticut","New London County",3.4000332,0.30043802,71505.5926172424,0.074038565,264150
"Connecticut","Tolland County",3.8165278,0.39923671,79011.1440286794,0.10654412,151060
"Connecticut","Windham County",3.0834341,0.21104635,62870.8757219576,0.11934537,117855
"Delaware","Kent County",3.8267691,0.20018461,55954.5355739018,0.12600818,159748
"Delaware","New Castle County",3.2031808,0.3241314,70111.9764726201,0.10697412,536826
"Delaware","Sussex County",3.784611,0.20748784,54752.358664942,0.11703792,194890
"District of Columbia","District of Columbia",2.2478878,0.46829858,81777.9648327566,0.19302183,610589
"Florida","Alachua County",3.4960327,0.42003676,47852.4885297733,0.24777143,244225
"Florida","Baker County",3.9111853,0.063857913,51380.245841785,0.16733275,26145
"Florida","Bay County",3.2496243,0.20177272,49819.9053076067,0.12344986,165646
"Florida","Bradford County",2.6783731,0.084183067,42806.4403225807,0.15948945,28574
"Florida","Brevard County",3.2775228,0.2582359,52028.3655600522,0.10617582,535907
"Florida","Broward County",3.3961008,0.29615119,60389.1524250506,0.12205733,1788118
"Florida","Calhoun County",4.2408624,0.11694626,37673.3747692308,0.22121541,13555
"Florida","Charlotte County",3.0148752,0.21076611,45754.1183225194,0.10457409,156726
"Florida","Citrus County",3.4620225,0.16405044,39457.4195884902,0.14315024,139747
"Florida","Clay County",3.7536285,0.23877843,61898.525753805,0.08588279,188128
"Florida","Collier County",3.2100046,0.2886914,61966.5100522518,0.12577298,321861
"Florida","Columbia County",3.3755038,0.14858654,43099.4755741808,0.15893435,69535
"Florida","DeSoto County",1.5874261,0.11407291,35754.9772244851,0.26389277,35937
"Florida","Dixie County",4.1129866,0.066005774,35120.9620630861,0.15924962,14608
"Florida","Duval County",3.2520297,0.24655673,52177.6611818393,0.14272189,860576
"Florida","Escambia County",3.0618947,0.23124687,48295.8565884571,0.16153646,302091
"Florida","Flagler County",3.3384938,0.21272258,49873.6751692861,0.11917896,92400
"Florida","Franklin County",2.245259,0.17215246,39955.7053424539,0.26074845,11233
"Florida","Gadsden County",3.8455949,0.12535346,37883.4182457048,0.2737821,47776
"Florida","Gilchrist County",3.9644234,0.088533849,41578.288505815,0.20067383,17191
"Florida","Glades County",3.4273345,0.11063254,35048.4433405775,0.20191291,10827
"Florida","Gulf County",3.5315354,0.13054563,39588.0861123369,0.2041305,15599
"Florida","Hamilton County",2.8352385,0.081352964,39355.6417325495,0.21151315,14322
